X Y
257.3427 109.0772 
257.3026 109.1826 
260.9512 104.9879 
260.4842 105.5338 
260.3589 105.5023 
260.3965 105.557 
260.5412 105.1898 
260.7228 104.9942 
259.1748 106.9643 
259.4236 106.6572 
259.4933 106.8119 
258.9118 106.8615 
255.5081 111.4217 
256.5262 110.5601 
259.3582 106.4397 
259.8932 105.6611 
259.8707 105.6885 
259.388 106.1645 
259.6544 105.8942 
256.7638 109.7615 
261.6775 103.9241 
263.9619 100.7579 
263.6508 99.04762 
276.1261 86.63964 
0 0 
0 0 
0 0 
0 0 
0 0 
0 0 
626.708 136.1639 
600.043 155.5621 
563.8036 180.2571 
537.687 261.0405 
516.0444 267.8933 
531.0887 301.5435 
525.8827 308.5062 
468.2101 291.7448 
467.5503 292.935 
513.6548 331.6891 
510.7586 331.4542 
467.6419 306.0422 
463.7724 307.7967 
465.0084 304.0934 
460.3896 297.4438 
278.7162 88.42342 
276.3529 89.80392 
277.8102 89.7718 
280.0386 90.97796 
280.4898 90.44898 
474.9852 301.3704 
498.2159 320.5137 
501.1422 319.0267 
500.7993 319.4272 
284.4383 89.08642 
479.1957 305.6366 
277.2651 82.54671 
271.1736 75.9132 
264.4587 71.90282 
258.7438 69.51869 
252.9406 68.31278 
248.4979 67.33054 
246.5004 67.95189 
244.9003 69.28409 
245.5157 72.38032 
247.2238 76.69214 
246.4173 80.73302 
246.9734 84.69277 
245.6961 89.67631 
245.0379 94.45724 
244.1083 100.0824 
242.7274 106.4267 
240.8627 113.2594 
242.3256 120.5446 
242.5988 127.1083 
242.5915 133.4239 
241.2309 138.5161 
239.4822 142.9256 
238.4711 145.594 
237.0954 147.842 
234.9766 150.1815 
233.5916 152.5921 
233.5093 155.2066 
234.9395 158.1483 
236.288 162.6309 
240.2844 168.1871 
244.1021 173.812 
247.4071 178.5924 
249.2283 183.2547 
251.3796 189.2057 
255.7728 195.1935 
258.9168 200.3173 
260.977 205.3495 
262.0424 212.8481 
266.7775 218.7608 
262.3789 224.2535 
267.7064 228.775 
268.1613 231.4568 
267.6127 235.0563 
269.8876 238.8041 
269.9775 242.12 
270.938 246.3897 
272.9869 251.2448 
277.8004 259.6011 
276.8358 270.3831 
279.076 277.0087 
280.6945 280.3761 
282.1855 281.8412 
286.3892 283.5336 
291.1403 283.8272 
297.3566 282.9646 
304.7987 282.5477 
303.6331 280.5745 
315.7328 278.9441 
322.2758 278.4871 
327.8619 278.1672 
330.0465 279.0946 
324.7076 285.1882 
318.7201 291.015 
319.158 297.0158 
317.2798 304.1426 
308.2655 314.1147 
219.4006 266.226 
209.1546 266.7709 
199.6685 264.8631 
256.1715 332.8483 
243.7472 328.5807 
233.2863 322.8235 
222.6808 313.8729 
219.3019 301.8612 
217.7244 285.0043 
219.1776 267.4331 
218.5409 251.8223 
219.442 234.9855 
543.5511 280.0356 
542.6613 288.0323 
532.6882 318.6452 
539.1667 254.0486 
540.56 256.0933 
242.5556 141.5111 
250.1784 131.2108 
257.7647 122.1611 
266.2831 113.0203 
272.5088 106.1293 
280.6118 100.5627 
290.9043 96.16891 
300.4975 92.14084 
311.1844 88.19178 
321.2077 84.84353 
333.5056 82.26647 
344.4972 79.85102 
356.2572 78.71335 
367.4829 78.54615 
375.796 77.724 
383.923 76 
390.2346 75.41768 
398.8473 74.6005 
406.2935 74.89155 
411.2658 74.92998 
415.4389 75.16187 
419.6135 75.7144 
421.3198 75.58244 
422.2081 75.10583 
422.658 74.71611 
422.3105 74.00249 
420.5951 72.97865 
417.9446 71.35886 
414.7555 70.20214 
410.1918 68.36349 
407.2131 68.39149 
402.0148 68.51523 
397.6269 68.84553 
393.5749 69.72237 
389.1682 69.56403 
383.9578 69.24 
379.6915 69.05774 
375.5316 70.16766 
370.6927 71.31546 
366.4589 71.58248 
363.468 71.84718 
360.9675 72.08222 
358.9001 73.54446 
357.8242 74.81754 
356.0256 76.09889 
