X Y
496.3581 235.1187 
496.3179 235.1605 
496.282 235.2539 
496.2488 235.6209 
496.2066 235.6675 
496.5136 235.2077 
497.0584 234.5141 
496.9209 234.6289 
496.8499 234.8204 
496.8469 234.6811 
496.6552 234.9185 
496.9836 234.3357 
497.1208 234.2868 
497.4021 234.0573 
497.5786 233.8491 
498.5025 233.0968 
498.5007 233.1029 
498.4658 233.0431 
498.4442 233.1029 
498.4489 233.0968 
498.5401 233.0469 
498.6006 233.0085 
498.7159 232.9006 
498.7542 232.8365 
498.8168 232.8056 
498.8231 232.8044 
498.7898 232.7948 
498.7978 232.807 
498.7859 232.7712 
498.8233 232.725 
497.8145 233.4596 
497.6678 233.5324 
489.7968 238.6712 
483.6446 232.671 
486.5134 222.503 
490.5265 222.2756 
491.4456 223.4993 
491.4113 223.9361 
490.8316 223.8592 
493.3925 221.2728 
492.366 219.8382 
491.2144 218.4695 
490.8472 217.9293 
489.7015 218.8671 
487.1889 218.5872 
486.9136 218.2117 
486.5178 216.9517 
487.951 213.3091 
488.257 212.0461 
490.7652 210.4828 
495.4284 207.6519 
494.796 207.3857 
492.2867 210.5178 
485.22 211.3353 
480.6912 211.248 
477.1625 210.2595 
470.5458 212.1896 
458.1451 219.1991 
457.507 225.0855 
459.7005 223.9159 
461.7027 223.6756 
464.5422 222.852 
466.5708 219.0006 
469.5101 215.0268 
473.6543 214.2503 
478.8308 218.1495 
480.6544 221.1792 
479.6923 224.2695 
478.3479 228.3933 
477.6229 228.6077 
478.3191 226.5785 
483.9966 223.4734 
482.625 227.0292 
478.3049 232.8245 
475.2737 237.1094 
472.3713 240.0615 
472.2817 237.5956 
472.2629 234.8592 
472.9848 231.0491 
472.465 229.2846 
473.4916 225.7298 
471.5366 221.6291 
465.0909 220.9514 
461.3898 219.1514 
463.3146 209.6836 
468.3541 197.6153 
471.7957 185.9503 
474.9279 174.2902 
479.7454 161.6902 
486.6887 148.94 
490.1436 138.0276 
493.0538 128.3439 
495.8846 121.7535 
498.8615 114.348 
500.3669 109.2166 
503.1797 103.8751 
505.1516 98.77071 
506.6995 92.78409 
507.7254 88.31769 
509.4319 84.64046 
512.0367 80.5396 
514.3632 76.94973 
516.0029 75.08089 
