"animal","X","Y","frameID","quadrant"
"blue",535.64855,380.88115,1,2
"blue",535.6509,380.9257,2,2
"blue",535.64855,380.93445,3,2
"blue",535.6462,380.9432,4,2
"blue",535.60815,380.97805,5,2
"blue",535.5701,381.0129,6,2
"blue",535.5512,381.1004,7,2
"blue",535.5323,381.1879,8,2
"blue",535.45195,381.2279,9,2
"blue",535.3716,381.2679,10,2
"blue",535.3702,381.27835,11,2
"blue",535.3688,381.2888,12,2
"blue",535.3702,381.2945,13,2
"blue",535.3688,381.3002,14,2
"blue",535.3651,381.3403,15,2
"blue",535.3614,381.3804,16,2
"blue",535.3524,381.4131,17,2
"blue",535.3434,381.4458,18,2
"blue",535.33855,381.4554,19,2
"blue",535.3337,381.465,20,2
"blue",535.33335,381.481,21,2
"blue",535.333,381.497,22,2
"blue",535.32175,381.49725,23,2
"blue",535.3105,381.4975,24,2
"blue",535.3051,381.4993,25,2
"blue",535.2997,381.5011,26,2
"blue",535.29945,381.5071,27,2
"blue",535.2992,381.5131,28,2
"blue",535.2946,381.51505,29,2
"blue",535.29,381.517,30,2
"blue",535.2858,381.52495,31,2
"blue",535.2858,381.5369,32,2
"blue",535.2858,381.5845,33,2
"blue",535.2858,381.63475,34,2
"blue",535.2858,381.65895,35,2
"blue",535.2858,381.65895,36,2
"blue",535.2858,381.6804,37,2
"blue",535.2858,381.6804,38,2
"blue",535.2858,381.6804,39,2
"blue",535.279,381.6804,40,2
"blue",535.26685,381.6804,41,2
"blue",535.2558,381.6804,42,2
"blue",535.2532,381.6804,43,2
"blue",535.2442,381.6804,44,2
"blue",535.23035,381.6804,45,2
"blue",535.1728,381.6804,46,2
"blue",535.111,381.6804,47,2
"blue",535.10045,381.6804,48,2
"blue",535.089,381.6804,49,2
"blue",535.07745,381.6804,50,2
"blue",535.0729,381.6804,51,2
"blue",535.0447,381.6804,52,2
"blue",534.88005,381.66285,53,2
"blue",534.60155,381.63475,54,2
"blue",534.44065,381.5845,55,2
"blue",534.37695,381.5369,56,2
"blue",534.32025,381.52495,57,2
"blue",534.29675,381.51505,58,2
"blue",534.27325,381.51145,59,2
"blue",534.24705,381.50565,60,2
"blue",534.1959,381.5013,61,2
"blue",534.1063,381.4993,62,2
"blue",534.0529,381.49725,63,2
"blue",534.03195,381.481,64,2
"blue",533.9077,381.4554,65,2
"blue",533.79405,381.444,66,2
"blue",533.78635,381.444,67,2
"blue",533.74725,381.4113,68,2
"blue",533.69575,381.31515,69,2
"blue",533.67145,381.21615,70,2
"blue",533.65685,381.1572,71,2
"blue",533.63715,381.12475,72,2
"blue",533.61635,381.063,73,2
"blue",533.6032,380.9768,74,2
"blue",533.5769,380.9255,75,2
"blue",533.55735,380.887,76,2
"blue",533.54065,380.8567,77,2
"blue",533.5173,380.82465,78,2
"blue",533.50605,380.7865,79,2
